generation,best_objective_1,best_objective_2,best_clashes,best_staff_days,avg_objective_1,avg_objective_2,avg_penalties,front_1_size
1,328,327,28,27,720.38,714.92,6.88,2
2,228,226,28,26,561.06,557.18,5.3,2
3,228,226,28,26,501.16,497.4,4.7,2
4,132,127,32,27,432.32,427.44,4.0,1
5,132,127,32,27,378.3,373.52,3.46,1
6,28,28,28,28,333.72,329.72,3.02,1
7,28,28,28,28,282.08,278.02,2.5,1
8,28,26,28,26,256.62,253.88,2.26,2
9,28,26,28,26,232.6,229.8,2.02,2
10,28,26,28,26,214.52,211.86,1.84,2
11,28,26,28,26,188.14,185.6,1.58,2
12,27,26,27,26,175.0,173.34,1.46,2
13,27,26,27,26,140.5,139.56,1.12,2
14,27,24,27,24,116.88,115.68,0.88,2
15,23,24,23,24,96.4,95.36,0.68,2
16,21,24,21,24,85.94,85.08,0.58,3
17,21,24,21,24,77.44,77.0,0.5,3
18,21,23,21,23,57.2,56.78,0.3,3
19,21,23,21,23,47.36,46.7,0.2,4
20,21,23,21,23,35.36,34.8,0.08,4
21,21,23,21,23,27.06,26.8,0.0,4
22,21,23,21,23,26.42,26.44,0.0,4
23,21,23,21,23,25.9,26.42,0.0,4
24,21,23,21,23,25.08,26.08,0.0,4
25,21,23,21,23,24.86,25.94,0.0,4
26,21,23,21,23,24.8,25.74,0.0,4
27,20,23,20,23,24.26,25.9,0.0,6
28,20,23,20,23,24.02,25.72,0.0,8
29,20,23,20,23,23.9,25.62,0.0,8
30,20,22,20,22,23.7,25.64,0.0,6
31,19,22,19,22,23.34,25.66,0.0,3
32,19,22,19,22,23.12,25.64,0.0,4
33,19,22,19,22,23.06,25.54,0.0,3
34,18,22,18,22,22.96,25.4,0.0,3
35,18,22,18,22,22.84,25.36,0.0,3
36,18,22,18,22,22.78,25.32,0.0,4
37,18,22,18,22,22.76,25.3,0.0,4
38,18,22,18,22,22.4,25.3,0.0,5
39,18,22,18,22,22.42,25.26,0.0,5
40,18,22,18,22,22.54,25.12,0.0,5
41,18,22,18,22,22.34,24.98,0.0,3
42,17,22,17,22,22.3,24.86,0.0,2
43,17,22,17,22,22.26,24.86,0.0,2
44,17,22,17,22,22.0,24.84,0.0,3
45,17,22,17,22,22.1,24.78,0.0,3
46,17,22,17,22,21.6,24.94,0.0,3
47,17,22,17,22,21.62,24.82,0.0,3
48,16,22,16,22,21.26,24.84,0.0,4
49,16,22,16,22,21.18,24.78,0.0,4
50,16,21,16,21,21.28,24.56,0.0,5
